# M(STOP) [GeV],M(NEUTRALINO) [GeV],ACCEPTANCE*EFFICIENCY
350,150,0.00014672
350,162,0.00024558
400,175,0.00030784
350,177,0.00022359
350,185,0.00030579
400,200,0.00039395
400,212,0.00067171
400,227,0.00064861
400,235,0.00050773
400,250,0.00059948
450,250,0.00041956
450,277,0.0013198
450,285,0.00054123
500,300,0.00032162
500,312,0.00073996
500,327,0.0016538
500,335,0.00063542
500,350,0.001081
550,350,0.00042128
550,362,0.00094148
550,377,0.0010413
550,385,0.0011129
600,400,0.00043095
600,412,0.00086865
600,427,0.00092669
600,435,0.00092765
650,462,0.000722
650,477,0.00090005
650,485,0.0017781
